YEAR,Sponsor Name,Prev Year Revenue,Current Year Revenue,Total Profit,Growth
2010,Adidas ,11,13.021,2,yes
2010,American Express,24.31,27.48,3.17,yes
2010,AT&T,122.77,124.28,1.51,yes
2010,BBVA,32.36,33.71,1.35,yes
2010,Nike,18,20,1,yes
2010,Coca-Cola,35.11,30.99,-4.12,no
2010,T-Mobile,3.48,4.06,0.58,yes
2010,McDonald's,22.74,24.07,1.33,yes
2010,cisco,34.8,41.76,6.96,yes
2010,Verizon,107.8,106.56,-1.24,no
2010,HP,1.66,2.07,0.41,yes
2010,Toyota,183.22,226.29,43.07,yes
2010,EA sports,3.53,3.47,-0.06,no
2010,Foot Locker,4.84,4.98,0.14,yes
2010,UPS,45.29,49.54,4.25,yes
2010,Hyundai,80,58.62,-21.38,no
2010,PepsiCo,43.23,57.83,14.6,yes
2010,Ford,116.92,128.95,12.03,yes
2010,Lenovo,15.05,20.97,5.92,yes
2010,Puma,3.45,3.57,0.12,yes
2010,Under Armour,0.85,1.06,0.21,yes
2010,SAP,15.03,16.41,1.38,yes
2010,Kaiser Permanente,0.98,1.07,0.09,yes
2010,ESPN,36.08,39.04,2.96,yes
2010,Fedex,32.39,37.21,4.82,yes
2010,Yum! ,10.83,11.34,0.51,yes
2011,Chase,0.12,0.12,0,no
2011,Panasonic,102.33,100.92,-1.41,no
2011,Samsung,133.94,146.33,12.39,yes
2011,Sony,84.89,81.71,-3.18,no
2011,McDonald's,24.07,27,2.93,yes
2011,T-Mobile,4.06,4.84,0.78,yes
2011,Kia motors,30361,"39,263.00","8,902.00",yes
2011,Adidas,13.6,13.62,0.02,yes
2011,BBVA,32.84,38.12,5.28,yes
2011,Nike,20,22.47,2.47,yes
2011,Coca-Cola,46.54,35.11,-11.43,no
2011,Toyota,226.29,221.22,-5.07,no
2011,United Airlines,23.25,37.11,13.86,yes
2011,ESPN,39.04,40.95,1.91,yes
2011,Microsoft,66.69,72.05,5.36,yes
2011,Oracle,31.99,36.7,4.71,yes
2011,AT&T,124.28,126.72,2.44,yes
2011,Yum! ,11.34,12.62,1.28,yes
2011,Foot Locker,4.98,5.51,0.53,yes
2011,American Airlines,14.572,13.944,-0.628,no
2011,Hp,2.07,2.68,0.61,yes
2011,Under Armour,1.06,1.47,0.41,yes
2011,Goodyear,18.83,22.76,3.93,yes
2011,western union,5.19,5.49,0.3,yes
2011,Ford,128.95,136.96,8.01,yes
2011,Warner bros,3.77,4.22,0.45,yes
2011,Humana,30.96,36.83,5.87,yes
2011,Mondelez,49.2,54.36,5.16,yes
2011,Budweiser,36.29,39.04,2.75,yes
2011,Verizon,106.56,110.87,4.31,yes
2011,American Express,27.48,29.96,2.48,yes
2011,Hyundai,80,77.28,-2.72,no
2011,Mondelez,49.2,54.36,5.16,yes
2011,StubHub,9.2,11.7,2.5,yes
2011,Mastercard,5.539,6.714,1.175,yes
2011,Ups,49.54,53.1,3.56,yes
2012,Kia Motors,38.48,43.13,4.65,yes
2012,Sprint,5.1,11.509,6.409,yes
2012,Coca Cola,71.9,74,2.1,yes
2012,BBVA Compass,32.84,38.12,5.28,yes
2012,Nike ,22.47,24.55,2.08,yes
2012,Microsoft,72.05,72.93,0.88,yes
2012,PepsiCo,66.5,65.49,-1.01,no
2012,American express,29.96,31.55,1.59,yes
2012,Samsung,146.43,184.22,37.79,yes
2012,ESPN,40.95,42.84,1.89,yes
2012,AT&T,126.72,127.43,0.71,yes
2012,Ford,136.96,134.25,-2.71,no
2012,Goodyear,22.76,20.99,-1.77,no
2012,Hp,2.68,3.26,0.58,yes
2012,IBM,106.91,104.5,-2.41,no
2012,T-Mobile,4.84,12.33,7.49,yes
2012,Under Armour,1.47,1.83,0.36,yes
2012,Verizon,110.87,115.84,4.97,yes
2012,Yum! ,12.62,13.63,1.01,yes
2012,Google,37.9,48.97,11.07,yes
2012,Foot Locker,5.51,5.97,0.46,yes
2012,Toyota,268.95,251.82,-17.13,no
2012,United Airlines,37.11,37.15,0.04,yes
2012,McDonald's,27,27.56,0.56,yes
2012,mastercard,6.714,7.391,0.677,yes
2012,Cisco,43.72,46.68,2.96,yes
2012,EA sports,3.86,3.95,0.09,yes
2012,SAP,19.51,21.11,1.6,yes
2012,Warner Bros,4.22,4.48,0.26,yes
2012,Delta Air lines,35.11,36.67,1.56,yes
2012,Chase,0.12,0.17,0.05,yes
2013,kia motors,43.13,43.83,0.7,yes
2013,Disney,42.84,46,3.16,yes
2013,Microsoft,72.93,83.43,10.5,yes
2013,Samsung,184.22,210.86,26.64,yes
2013,Coca Cola,46.85,48.01,1.16,yes
2013,Foot Locker,5.97,6.42,0.45,yes
2013,State Farm,33.21,68.3,35.09,yes
2013,Hp,3.26,3.43,0.17,yes
2013,Under Armour,1.83,2.33,0.5,yes
2013,Western Union,5.66,5.54,-0.12,no
2013,AT&T,127.43,128.75,1.32,yes
2013,American express,31.55,32.97,1.42,yes
2013,Verizon,115.84,120.55,4.71,yes
2013,Ups,54.12,55.43,1.31,yes
2013,Nike,24.55,26.38,1.83,yes
2013,McDonald's,27.56,28.1,0.54,yes
2013,Michelob Ultra,39.75,43.19,3.44,yes
2013,SAP,21.11,22.41,1.3,yes
2013,Delta Air Lines,36.67,37.77,1.1,yes
2013,StubHub,14.1,8.3,-5.8,no
2014,Microsoft,83.43,93.46,10.03,yes
2014,Kia motors,43.83,44.61,0.78,yes
2014,Ge,142.74,139.14,-3.6,no
2014,Coca Cola,46.85,46,-0.85,no
2014,AT&T,128.75,132.45,3.7,yes
2014,Adidas,19.25,18.71,-0.54,no
2014,State Farm,68.3,71.2,2.9,yes
2014,BBVA,32.14,30.01,-2.13,no
2014,Foot Locker,6.43,7.03,0.6,yes
2014,Goodyear,19.54,18.14,-1.4,no
2014,Haier,14.12,14.36,0.24,yes
2014,Hasbro,4.08,4.28,0.2,yes
2014,Hp,3.43,3.89,0.46,yes
2014,intel,52.7,55.87,3.17,yes
2014,Johnson&Johnson,71.31,74.33,3.02,yes
2014,Kaiser permanente,1.29,1.35,0.06,yes
2014,Lenovo,37.18,44.31,7.13,yes
2014,Macy's,28.07,27.94,-0.13,no
2014,Mattel,6.48,6.02,-0.46,no
2014,Nestle,104.11,92.92,-11.19,no
2014,Nike,26.28,29.75,3.47,yes
2014,Panasonic,76.16,72.06,-4.1,no
2014,PepsiCo,66.41,66.68,0.27,yes
2014,Verizon,120.55,127.07,6.52,yes
2014,Yum! ,13.08,13.27,0.19,yes
2014,Accenture,30.52,32.41,1.89,yes
2014,American express,32.97,33.47,0.5,yes
2014,Chase,0.21,0.22,0.01,yes
2014,Cisco,119.92,142.23,22.31,yes
2014,Capital one,22.38,22.29,-0.09,no
2014,Instagram,1,0.5,-0.5,no
2014,Meta,7.87,12.46,4.59,yes
2014,StubHub,8.3,8.8,0.5,yes
2014,Tencent,9.87,12.76,2.89,yes
2014,Twitter,0.66,1.4,0.74,yes
2014,Samsung,210.86,195.22,-15.64,no
2014,Toyota,251.82,246.79,-5.03,no
2014,Pay Pal,6.73,8.02,1.29,yes
2014,Western Union,5.54,5.61,0.07,yes
2014,Wells fargo,82.31,81.97,-0.34,no
2014,SAP,22.41,22.78,0.37,yes
2014,Hanes,4.62,5.32,0.7,yes
2014,Hershey's,7.14,7.42,0.28,yes
2014,Gm,155.42,155.92,0.5,yes
2014,Hanesbrands,4.62,5.32,0.7,yes
2014,Accenture,30.52,32.41,1.89,yes
2014,Bp,379.13,320.25,-58.88,no
2014,IBM,99.36,92.79,-6.57,no
2014,Marathon Petroleum,100.16,97.87,-2.29,no
2014,Oakley,0.03925,0.0064,-0.03285,no
2014,SiriusXM,3.79,3.18,-0.61,no
2014,LG,53.57,55.18,1.61,yes
2015,American express,33.47,32.75,-0.72,no
2015,Microsoft,93.45,88.08,-5.37,no
2015,Samsung,195.22,174.66,-20.56,no
2015,Kia motors,44.61,43.09,-1.52,no
2015,Mattel,6.02,5.7,-0.32,no
2015,Goodyear,18.13,16.44,-1.69,no
2015,Hp,3.89,2.6,-1.29,no
2015,Under Armour,3.08,3.96,0.88,yes
2015,Coca Cola,44.29,45.99,1.7,yes
2015,Toyota,246.79,236.48,-10.31,no
2015,Nike,29.75,31.33,1.58,yes
2015,State Farm,71.2,75.7,4.5,yes
2015,AT&T,132.45,146.8,14.35,yes
2015,BBVA,30.01,27.6,-2.41,no
2015,Accenture,32.41,33.03,0.62,yes
2015,IBM,92.79,81.74,-11.05,no
2015,Infosys,8.64,9.21,0.57,yes
2015,Kaiser Permanente,1.35,1.39,0.04,yes
2015,Marathon Petroleum,97.87,72.05,,no
2015,PayPal,8.02,9.24,1.22,yes
2015,SAP,22.78,22.99,0.21,yes
2015,Yum! ,13.27,13.1,-0.17,no
2015,Verizon,127.07,131.62,4.55,yes
2015,Foot Locker,7.03,7.31,0.28,yes
2015,PepsiCo,66.68,63.05,-3.63,no
2015,Warner Bros,6.26,6.39,0.13,yes
2015,McDonald's,27.44,25.41,-2.03,no
2015,Ford,144.07,149.55,5.48,yes
2016,Kia motors,43.09,45.87,2.78,yes
2016,State Farm,75.7,76.1,0.4,yes
2016,Nike,31.33,33.51,2.18,yes
2016,UPS,58.36,60.9,2.54,yes
2016,Western Union,5.48,5.42,-0.06,no
2016,ESPN,54.31,55.17,0.86,yes
2016,SAP,22.99,24.29,1.3,yes
2016,PayPal,9.24,10.84,1.6,yes
2016,Rakuten,5.91,7.22,1.31,yes
2016,Kaiser Permanente,1.39,1.33,-0.06,no
2016,Oracle,37.47,37.23,-0.24,no
2016,Goodyear,16.44,15.15,-1.29,no
2016,American express,32.75,33.33,0.58,yes
2016,BBVA Compass,27.6,28.47,0.87,yes
2016,Foot Locker,7.31,7.66,0.35,yes
2016,Chase,0.23,0.24,0.01,yes
2016,Coca Cola,41.86,44.29,2.43,yes
2016,AT&T,146.8,163.78,16.98,yes
2016,Samsung,174.66,175.51,0.85,yes
2016,McDonald's,25.41,24.62,-0.79,no
2016,Microsoft,88.8,88.89,0.09,yes
2016,Hp,2.6,1.5,-1.1,no
2016,United Airlines,37.86,36.55,-1.31,no
2016,Verizon,131.62,125.98,-5.64,no
2016,Toyota,236.48,250.85,14.37,yes
2016,Hyundai,80.04,81.42,1.38,yes
2016,Disney,54.31,55.17,0.86,yes
2016,Warner Bros,6.39,6.49,0.1,yes
2016,T-Mobile,32.05,37.43,5.38,yes
2016,Google,74.98,90.27,15.29,yes
2016,Nestle,90.16,88.13,-2.03,no
2016,Yum! ,13.1,1.89,-11.21,no
2016,Taco Bell,,0.45,0.45,yes
2017,Michelob ultra,45.51,56.44,10.93,yes
2017,PepsiCo,62.79,63.52,0.73,yes
2017,Nike,33.51,34.73,1.22,yes
2017,Under Armour,4.82,4.98,0.16,yes
2017,Adidas,31.8,40.48,8.68,yes
2017,American express,33.33,36.01,2.68,yes
2017,State Farm,76.1,78.3,2.2,yes
2017,Microsoft,88.89,99.98,11.09,yes
2017,Samsung,214.57,221.67,7.1,yes
2017,SAP,24.29,27.02,2.73,yes
2017,Kia motors,45.87,47.86,1.99,yes
2017,Delta Air lines,39.63,41.15,1.52,yes
2017,Goodyear,15.15,15.37,0.22,yes
2017,Kaiser Permanente,1.33,1.39,0.06,yes
2017,McDonald's,24.62,22.82,-1.8,no
2017,Verizon,125.98,126.03,0.05,yes
2017,Yum! ,1.89,5.87,3.98,yes
2017,BBVA,28.47,28.23,-0.24,no
2017,Foot Locker,7.66,7.68,0.02,yes
2017,Mastercard,10.776,12.497,1.721,yes
2017,YouTube,8.1,,-8.1,no
2017,ESPN,55.17,55.5,0.33,yes
2017,EA Sports,4.62,5.09,0.47,yes
2017,kia motors,45.87,47.86,1.99,yes
2018,Microsoft,99.98,118.45,18.47,yes
2018,Warner Bros,6.87,10.55,3.68,yes
2018,Kinder,13.71,14.14,0.43,yes
2018,SAP,27.02,28.97,1.95,yes
2018,Budweiser,56.44,54.27,-2.17,no
